attack_pattern	vulnerability
#4183:1	#228:2933
#4185:1	#217:796
#4211:0	#212:3506
#4189:1	#230:1757
#3990:6	#4181:0
#4215:0	#212:3148
#204:10	#246:1148
#4210:0	#240:1822
#4183:1	#242:1757
#4202:1	#212:3506
#4183:1	#242:3770
#4011:5	#4215:0
#4197:1	#230:1757
#4193:0	#224:3734
#4189:0	#213:596
#4193:0	#246:2173
#3985:3	#4179:1
#4183:1	#229:370
#4182:1	#216:1081
#4199:1	#218:3329
#4189:0	#222:971
#4216:0	#230:1757
#4211:0	#216:2473
#4182:1	#235:690
#177:7	#224:1789
#4209:0	#218:814
#4187:0	#223:1920
#4217:0	#245:1094
#4195:0	#237:137
#4201:0	#241:3375
#4205:0	#233:307
#4211:0	#227:3345
#4206:0	#218:814
#4212:0	#233:3310
#4189:0	#225:3387
#4187:1	#222:3316
#3999:3	#4201:0
#4189:0	#223:1920
#4190:1	#238:1691
#4189:0	#248:2675
#3979:1	#4194:1
#4200:1	#242:448
#4212:0	#237:1780
#4194:1	#219:3257
#4206:0	#230:2920
#3985:5	#4216:0
#4011:4	#4190:1
#4187:1	#244:3217
#4200:1	#247:2321
#193:9	#239:3468
#3995:5	#4187:1
#205:3	#214:3721
#3993:1	#4193:0
#4189:0	#243:3340
#3998:1	#4197:1
#4189:0	#240:3078
#193:9	#234:3779
#4211:0	#223:2879
#4212:0	#244:1606
#4201:1	#231:3199
#4200:0	#240:1822
#4189:0	#227:3062
#4213:0	#247:826
#4009:2	#4186:0
#4196:0	#233:1006
#4189:0	#228:699
#4213:0	#235:690
#4190:0	#215:1208
#4193:0	#241:3347
#4187:1	#214:1514
#4193:0	#237:963
#4184:0	#209:1199
#4215:0	#218:1666
#4182:1	#231:2782
#4194:0	#215:1208
#4189:0	#234:171
#4194:0	#220:407
#4189:0	#210:1824
#4201:1	#232:2069
#4193:0	#233:977
#4191:1	#240:1822
#4189:0	#216:1930
#4188:1	#219:1843
#3998:0	#4197:0
#3987:0	#4201:1
#4198:0	#240:1822
#4189:1	#235:690
#4193:1	#216:2473
#4191:0	#210:1824
#3997:1	#4204:0
#3991:3	#4178:1
#4208:0	#216:2473
#4189:1	#212:3506
#4193:0	#225:2265
#4211:0	#217:3355
#4182:1	#237:2963
#4189:1	#209:3403
#4207:0	#246:609
#4187:0	#216:2473
#4194:1	#248:2274
#4187:1	#224:3794
#4183:0	#230:1757
#4195:1	#248:2972
#4195:1	#215:1475
#4183:1	#223:894
#4215:0	#221:281
#4194:1	#227:3109
#4179:1	#240:1875
#3991:2	#4195:1
#3978:5	#4186:1
#4210:0	#247:646
#4003:3	#4198:1
#4184:1	#237:137
#4179:0	#240:1875
#4195:1	#219:1843
#4180:0	#237:800
#4197:0	#216:2473
#4214:0	#230:1757
#4015:5	#4190:0
#3989:2	#4199:1
#4193:0	#214:730
#4199:1	#227:3345
#4187:0	#219:2023
#4213:0	#221:1904
#4200:1	#220:407
#4012:5	#4200:0
#4201:1	#246:609
#4188:0	#240:1822
#3982:1	#4214:0
#4193:0	#246:1396
#4183:1	#244:3739
#4193:0	#243:2276
#4209:0	#216:3331
#3991:0	#4202:1
#4181:1	#212:3506
#4183:0	#228:2718
#3980:1	#4189:1
#4193:0	#217:1982
#4003:5	#4180:0
#179:5	#222:2406
#3980:5	#4182:0
#4189:0	#215:1938
#4183:1	#232:34
#4189:0	#219:1030
#4209:0	#218:3329
#4007:2	#4189:0
#4189:0	#245:1094
#4182:1	#228:2718
#4198:0	#227:3345
#4200:1	#210:2003
#4012:2	#4191:0
#4199:1	#219:1843
#4193:0	#229:2607
#4181:0	#230:1757
#4189:0	#217:200
#4193:0	#247:2103
#4195:0	#230:1757
#4180:0	#211:3329
#4014:4	#4182:1
#3991:6	#4206:0
#4184:0	#230:1757
#4194:0	#247:2103
#3989:3	#4185:0
#4202:0	#241:3694
#4189:1	#217:3355
#4198:1	#237:137
#4203:0	#240:3078
#4217:0	#230:1757
#4002:3	#4184:0
#4193:1	#233:307
#4193:0	#248:451
#4183:1	#217:796
#4197:0	#245:1094
#4211:0	#245:1094
#4193:0	#224:722
#4211:0	#240:1875
#4197:0	#237:137
#3992:2	#4188:0
#182:12	#227:3349
#4197:1	#215:1938
#4196:1	#233:307
#4187:0	#230:2522
#4201:0	#212:3148
#4198:0	#237:137
#4211:0	#237:137
#4185:0	#210:1824
#4188:1	#213:276
#4194:0	#226:1808
#4211:0	#218:814
#4213:0	#217:225
#3992:5	#4194:0
#208:6	#227:328
#4186:1	#245:1094
#3993:2	#4183:1
#4186:1	#235:690
#4179:0	#216:2473
#4202:1	#230:1757
#4197:0	#217:3355
#4195:1	#221:2604
#4205:0	#240:1822
#4184:0	#216:2473
#4193:0	#218:1798
#4205:0	#216:2473
#4193:0	#242:2098
#4183:0	#241:3694
#4004:4	#4192:0
#4197:0	#240:1875
#4198:0	#233:307
#4188:1	#212:3066
#4009:0	#4207:0
#4198:1	#217:3355
#4206:0	#238:750
#4198:0	#216:2473
#4204:0	#240:1822
#4197:0	#241:3375
#4189:1	#246:1956
#205:3	#222:2831
#4211:0	#239:2988
#4208:0	#240:1875
#4002:2	#4209:0
#4194:1	#215:1938
#4183:1	#231:3554
#4202:1	#239:2988
#4005:0	#4185:1
#4193:0	#225:2834
#4210:0	#230:1757
#4211:0	#230:1757
#4187:0	#248:2675
#4197:0	#230:1757
#4206:0	#239:2913
#4189:1	#231:1868
#4187:0	#225:3387
#185:14	#222:2406
#4189:0	#233:1132
#4198:1	#220:407
#4183:1	#240:1822
#4182:1	#233:773
#4189:0	#216:2473
#4000:4	#4199:0
#4207:0	#222:3316
#4187:0	#240:1822
#4189:0	#226:1808
#4189:0	#230:1757
#4186:0	#230:1757
#4197:0	#223:2879
#4207:0	#245:1094
#3986:0	#4208:0
#4189:0	#211:3697
#3993:3	#4205:0
#3989:6	#4192:1
#4183:1	#219:900
#3982:6	#4195:0
#4189:0	#211:2527
#4014:0	#4212:0
#4186:1	#214:1995
#4193:0	#226:1808
#4193:0	#247:2905
#177:7	#235:296
#4195:1	#229:2611
#4192:1	#234:834
#4183:1	#238:3421
#4200:1	#242:3770
#3995:3	#4193:1
#4213:0	#230:989
#3981:3	#4178:0
#4195:0	#228:699
#4190:0	#226:1808
#4197:0	#211:2527
#4194:1	#216:1081
#4015:2	#4202:0
#4200:1	#231:3199
#4183:1	#213:596
#4183:1	#237:1929
#4193:0	#227:3360
#4187:1	#246:609
#3978:1	#4213:0
#4195:1	#209:193
#4183:1	#210:2162
#4209:0	#238:750
#4190:0	#247:2103
#4185:1	#211:2527
#4193:0	#213:3523
#4178:1	#245:2810
#4206:0	#213:276
#4179:0	#247:2103
#4187:0	#238:624
#4193:0	#216:3331
#4211:0	#211:2527
#4182:1	#245:3271
#4000:0	#4187:0
#4208:0	#233:307
#4197:0	#240:1822
#4012:1	#4183:0
#4188:1	#219:2023
#4182:1	#247:3598
#4201:0	#220:407
#4182:1	#241:3694
#4178:0	#229:2191
#4211:0	#240:1822
#4183:1	#247:2548
#4192:0	#221:1650
#4197:0	#212:3506
#4193:0	#234:562
#4178:1	#229:2191
#4189:0	#233:598
#4193:0	#215:1208
#4207:0	#244:3217
#4190:1	#230:2920
#4193:0	#243:2473
#3983:6	#4217:0
#4186:1	#230:1757
#4182:1	#240:23
#4189:0	#212:3506
#4183:1	#210:1824
#4193:0	#211:1878
#4187:0	#222:971
#4194:1	#235:690
#4187:0	#230:1757
#4183:1	#219:1843
#4194:0	#228:699
#4183:1	#211:1225
#3991:1	#4188:1
#4017:0	#4203:0
#4194:0	#246:1396
#4188:1	#210:1824
