course_of_action	attack_pattern
#3662:10	#3191:2
#264:49	#195:5
#3662:38	#3204:1
#279:4	#203:3
#281:81	#183:0
#262:20	#197:2
#3661:204	#3191:2
#272:11	#188:4
#274:78	#194:8
#284:22	#195:14
#274:78	#171:0
#264:12	#178:10
#264:22	#169:1
#282:10	#196:13
#271:72	#174:6
#260:94	#175:13
#3672:153	#3195:2
#3676:119	#3181:7
#3660:120	#3191:2
#276:98	#196:2
#3658:14	#3194:7
#3659:150	#3205:12
#274:37	#200:8
#3658:139	#3191:2
#286:71	#201:6
#3658:180	#3191:2
#3658:171	#3206:8
#284:78	#183:7
#3659:197	#3191:2
#3658:149	#3181:7
#3660:30	#3191:2
#3660:9	#3191:2
#278:99	#189:0
#3662:33	#3193:2
#286:71	#203:2
#3658:103	#3205:12
#267:10	#190:2
#281:90	#204:7
#272:11	#171:5
#3660:114	#3191:2
#3659:213	#3195:2
#280:93	#180:4
#281:98	#198:13
#252:56	#195:14
#256:82	#186:3
#3660:58	#3208:4
#3658:5	#3205:12
#254:47	#198:0
#3660:206	#3205:12
#274:78	#206:6
#274:78	#169:3
#266:47	#170:8
#3660:118	#3210:12
#3661:188	#3191:2
#3690:174	#3215:2
#281:81	#180:7
#270:92	#172:11
#3661:173	#3181:7
#274:71	#201:12
#3660:209	#3193:2
#3660:130	#3206:8
#3660:19	#3204:1
#278:99	#203:2
#3660:183	#3191:2
#254:41	#194:3
#268:93	#203:0
#3659:83	#3205:12
#3680:202	#3215:2
#264:22	#199:7
#287:11	#170:5
#3661:2	#3208:4
#3692:211	#3192:3
#3661:189	#3191:2
#3665:124	#3195:1
#281:90	#191:12
#257:12	#175:9
#264:12	#193:9
#3658:79	#3208:4
#272:19	#207:12
#3658:112	#3191:2
#256:91	#203:2
#278:99	#177:4
#283:98	#178:5
#3688:60	#3187:0
#3658:1	#3193:2
#3662:80	#3194:6
#3658:213	#3191:2
#266:75	#200:13
#3697:42	#3215:2
#272:12	#179:9
#3661:73	#3204:1
#3658:175	#3200:9
#3662:49	#3187:0
#3658:205	#3206:8
#251:87	#203:0
#3662:31	#3193:2
#3661:37	#3205:12
#277:21	#170:10
#254:47	#177:6
#3661:123	#3191:2
#286:71	#186:13
#254:48	#188:15
#3658:23	#3205:12
#3658:185	#3194:6
#287:7	#202:1
#276:98	#180:13
#3662:109	#3205:12
#3660:221	#3194:6
#3658:147	#3204:1
#3659:1	#3191:2
#272:26	#205:3
#3659:198	#3194:6
#276:59	#183:7
#287:9	#202:3
#264:63	#208:1
#254:56	#177:4
#278:99	#183:3
#267:24	#176:10
#3686:160	#3191:2
#3660:3	#3191:2
#281:98	#175:14
#3660:181	#3193:2
