report	threat_actor
#2961:27	#3175:0
#2957:7	#3168:0
#2938:22	#3145:0
#2935:1	#3167:7
#2934:24	#3151:8
#2935:11	#3153:0
#2943:17	#3158:7
#2940:27	#3146:3
#2957:19	#3151:0
#2949:11	#3145:3
#2943:3	#3157:2
#2933:6	#3153:0
#2955:4	#3166:6
#2952:11	#3165:7
#2936:13	#3159:3
#2938:8	#3155:1
#2947:9	#3156:2
#2960:8	#3159:3
#2933:8	#3159:3
#2946:29	#3146:2
#2960:4	#3174:6
#2943:20	#3168:7
#2938:1	#3158:7
#2947:21	#3150:3
#2959:6	#3140:3
#2943:12	#3140:2
#2934:30	#3147:4
#2935:19	#3146:2
#2931:7	#3174:4
#2932:15	#3151:8
#2930:17	#3173:4
#2944:16	#3174:6
#2930:22	#3140:3
#2943:14	#3151:6
#2950:20	#3159:3
#2933:10	#3152:5
#2941:22	#3146:2
#2950:7	#3145:0
#2945:14	#3165:7
#2930:1	#3156:4
#2953:24	#3170:3
#2957:24	#3158:3
#2942:28	#3141:7
#2953:9	#3161:8
#2953:16	#3156:6
#2938:6	#3151:6
#2961:24	#3150:5
#2931:2	#3146:2
#2953:15	#3144:1
#2956:26	#3174:2
#2959:1	#3159:3
#2962:6	#3164:3
#2939:1	#3177:2
#2943:26	#3159:3
#2949:23	#3167:7
#2962:4	#3152:5
#2951:9	#3172:5
#2958:22	#3159:3
#2938:19	#3177:7
#2936:28	#3155:3
#2932:25	#3146:2
#2955:13	#3160:1
#2959:7	#3159:3
#2950:7	#3159:3
#2931:15	#3166:6
#2944:5	#2929:0
#2947:1	#3151:8
#2961:30	#3167:1
#2959:30	#3167:1
#2949:0	#3142:5
#2942:20	#3169:2
#2951:2	#3175:0
#2936:12	#3156:5
#2938:22	#3159:3
#2941:1	#3167:3
#2941:16	#3146:2
#2953:12	#3147:4
#2941:28	#3147:4
#2938:3	#3146:2
#2950:10	#3141:7
#2950:12	#3151:8
#2951:30	#3159:3
#2934:0	#3160:1
#2945:8	#3159:6
#2948:3	#3159:3
#2951:11	#3174:7
#2946:23	#3166:7
#2958:13	#3151:6
#2946:5	#3172:5
#2951:10	#3156:3
#2958:27	#3168:7
#2930:21	#3177:2
#2931:27	#3159:3
#2931:29	#3158:3
#2953:18	#3159:3
#2948:30	#3151:8
#2948:7	#3173:4
#2955:9	#3146:2
#2953:21	#3172:5
#2947:23	#3157:3
#2958:24	#3152:5
#2948:21	#3145:7
#2934:9	#3174:6
#2944:8	#3159:3
#2933:30	#3152:5
#2952:26	#3177:7
#2934:10	#3164:5
#2945:5	#3140:2
#2946:3	#3175:6
#2944:3	#3158:3
#2933:17	#3150:7
#2959:17	#3159:7
#2961:18	#3161:5
#2946:0	#3157:5
#2940:25	#3146:2
#2939:28	#3160:1
#2944:18	#3159:3
#2957:11	#3149:2
#2956:13	#3170:3
#2951:7	#3166:6
#2961:25	#3174:6
#2951:30	#3145:0
#2934:19	#3141:8
#2943:16	#3151:8
#2949:21	#3156:6
#2957:9	#3159:3
#2959:16	#3145:0
#2948:14	#3174:0
#2961:7	#3149:8
#2958:6	#3156:6
#2954:30	#3159:3
#2937:12	#3177:2
