report	campaign
#3055:13	#3551:7
#3004:10	#3546:5
#2980:21	#3570:10
#2940:17	#3539:9
#2935:25	#3555:2
#2941:20	#3575:14
#2992:13	#3559:8
#3056:13	#3549:5
#2931:19	#3576:9
#3043:26	#3556:14
#3033:0	#3545:4
#3004:17	#3562:2
#2982:24	#3563:13
#3018:30	#3572:14
#2993:11	#3569:9
#3085:24	#3572:7
#3035:10	#3539:7
#2976:20	#3553:4
#2967:20	#3564:9
#3093:22	#3550:13
#2984:11	#3554:1
#3055:19	#3555:11
#2940:10	#3577:12
#3030:1	#3540:7
#2987:13	#3558:15
#2955:11	#3544:5
#3074:5	#3539:0
#2935:30	#3557:14
#3007:1	#3568:4
#3021:6	#3577:2
#2958:21	#3565:2
#3074:26	#3547:9
#2958:26	#3550:8
#3019:6	#3550:12
#2943:8	#3575:6
#2941:0	#3558:8
#2944:23	#3553:14
#3016:7	#3562:9
#2942:10	#3546:7
#3092:4	#3556:15
#2962:27	#3569:4
#3032:23	#3554:10
#3089:23	#3551:9
#3016:5	#3562:1
#2974:6	#3549:13
#3065:10	#3566:9
#3075:24	#3564:13
#2979:28	#3558:7
#3075:23	#3572:5
#3065:16	#3563:11
#2958:4	#3544:8
#2994:10	#3555:5
#2935:8	#3539:1
#3035:26	#3575:12
#3054:8	#3539:15
#3003:25	#3539:8
#3032:26	#3573:3
#3066:17	#3550:5
#3003:6	#3543:8
#3025:28	#3558:4
#3024:15	#3569:7
#3085:17	#3559:15
#3042:9	#3571:9
#3091:6	#3557:12
#3032:10	#3555:13
#2996:20	#3572:6
#3069:3	#3548:13
#3021:2	#3550:11
#3029:20	#3553:9
#2966:27	#3570:6
#2979:20	#3559:10
#3062:15	#3549:12
#3054:24	#3573:11
#3087:20	#3548:1
#3023:27	#3564:12
#2947:14	#3559:13
#2988:6	#3540:9
#2972:28	#3550:14
#2948:20	#3539:14
#3017:21	#3574:5
#3096:1	#3560:12
#3067:7	#3569:1
#3051:4	#3577:13
#3091:23	#3553:12
#3041:29	#3560:14
#3031:19	#3545:9
#2937:8	#3547:1
#2978:10	#3563:8
#3022:2	#3541:2
#2972:8	#3553:8
#3082:13	#3566:4
#2985:11	#3178:7
#2994:19	#3573:10
#2974:5	#3562:7
#3016:4	#3555:15
#3097:16	#3546:13
#3028:4	#3541:7
#2968:20	#3566:6
#3071:0	#3564:11
#3025:6	#3178:9
#2972:17	#3570:3
#2975:18	#3557:3
#2958:17	#3576:14
#3050:5	#3540:6
#3005:12	#3549:2
#3045:18	#3557:2
#3059:4	#3546:8
#3076:7	#3550:0
#3065:12	#3557:1
#3083:6	#3568:1
#3011:21	#3556:5
#2966:0	#3550:3
#2962:19	#3540:12
#2951:29	#3572:10
#3090:10	#3554:7
#3023:25	#3560:8
#2958:7	#3546:2
#2936:1	#3568:10
#3000:3	#3545:13
#2999:2	#3563:2
#2999:17	#3541:8
#2993:15	#3541:11
#3054:17	#3574:10
#2981:20	#3553:3
#3061:25	#3565:12
#3086:17	#3574:6
#2977:21	#3545:12
#2971:0	#3562:14
#3065:25	#3571:0
#3032:0	#3576:4
#2999:25	#3544:14
#2968:2	#3563:6
#3013:21	#3549:15
#3071:7	#3545:3
#3026:6	#3571:7
#3001:15	#3564:0
#3052:4	#3570:11
#3078:13	#3557:4
#3048:29	#3568:3
#3032:0	#3544:11
#2945:7	#3565:0
#2954:26	#3562:0
#3048:7	#3549:9
#2985:24	#3546:6
#3061:12	#3556:9
#2933:27	#3543:4
#3059:23	#3565:8
#3032:0	#3561:15
#3043:24	#3539:13
#3089:6	#3567:9
#3016:9	#3566:7
#3040:24	#3548:0
#3076:13	#3545:2
#3097:5	#3542:12
#3068:28	#3542:1
#2953:13	#3575:2
#3077:11	#3564:2
#2973:1	#3567:3
#3074:3	#3577:0
#2951:23	#3550:2
#2971:28	#3540:5
#3047:26	#3567:11
#2984:7	#3544:2
#3051:22	#3566:8
#2992:17	#3547:15
#2960:11	#3563:12
#2960:30	#3569:3
#2962:9	#3565:3
#3056:9	#3549:7
#2976:29	#3548:10
#3070:7	#3576:8
#3046:26	#3551:8
#2957:6	#3573:5
#2983:14	#3551:4
#2939:14	#3573:8
#3093:20	#3556:13
#3022:22	#3554:3
#3058:2	#3542:6
#2969:27	#3564:5
#2934:2	#3570:9
