threat_actor	attack_pattern
#3160:6	#3990:0
#3175:6	#3987:2
#3168:8	#3982:2
#3165:6	#4006:5
#3160:2	#4010:0
#3141:6	#3995:4
#3146:3	#3999:4
#3150:6	#3997:5
#3157:7	#4008:4
#3165:4	#3988:4
#3160:5	#3987:6
#3174:7	#3991:0
#3174:6	#3986:0
#3157:5	#3979:0
#3175:2	#3991:3
#3169:7	#3988:6
#3144:8	#4017:5
#3167:1	#3992:4
#3161:8	#3989:1
#3164:7	#4004:3
#3160:7	#3986:5
#3148:7	#4006:3
#3148:8	#3981:2
#3177:2	#4003:3
#3156:8	#3985:0
#3139:3	#4015:3
#2929:3	#3981:0
#3176:1	#3988:5
#3168:6	#3984:0
#3166:0	#4002:5
#3164:6	#4004:0
#3157:8	#3992:0
#3174:0	#3993:0
#3143:8	#4000:1
#3176:6	#3986:1
#3142:0	#4009:4
#3143:0	#3990:6
#3156:5	#3991:1
#3164:3	#3991:6
#3164:8	#3994:1
#3142:7	#3995:1
#3140:8	#3979:1
#3174:8	#4017:2
#3145:2	#3994:3
#3140:1	#3997:1
#3161:6	#3997:0
#3164:4	#3982:4
#3159:3	#4007:2
#3169:8	#3998:2
#3168:3	#4002:0
#3139:1	#3988:1
#3168:7	#3982:6
#3161:5	#3986:2
#3173:6	#3994:0
#3141:7	#4015:2
#2929:4	#4004:1
#3149:4	#4013:2
#3168:4	#3980:2
#3146:2	#3983:4
#3165:5	#4000:2
#3160:1	#4008:3
#3144:3	#3983:3
#3159:6	#3985:5
#3168:0	#3989:6
#3175:5	#4011:3
#3140:3	#3981:4
#3170:3	#4003:5
#3153:0	#4006:4
#3177:6	#4001:2
#3168:2	#3995:5
#3167:2	#4014:3
#3148:3	#3983:1
#3175:4	#3990:5
#3144:6	#4013:4
#3144:2	#3978:6
#3148:1	#3980:4
#3140:4	#3983:0
#3155:4	#3986:3
#3153:8	#3980:0
#3145:4	#3985:2
#3143:7	#3988:3
#3158:2	#3996:1
#3157:6	#4004:4
#3172:8	#3979:2
#3147:3	#4005:4
#3139:0	#3981:3
#3145:7	#3983:6
#3173:5	#3999:3
#3161:7	#3983:2
#3152:6	#4009:5
#3168:5	#4011:0
#3158:4	#3996:0
#3145:6	#3999:0
#3160:8	#4013:0
#3166:3	#3988:0
#3151:8	#4002:2
#3151:7	#3984:4
#3168:1	#3984:6
#3172:6	#4006:1
#3146:1	#4016:1
#3151:0	#4003:4
#3169:5	#3987:3
#3147:4	#3989:5
#3166:7	#4010:5
#3177:0	#3987:1
#3175:8	#4007:3
#3158:3	#4013:5
#3172:7	#4000:4
#3169:3	#4005:3
#3155:2	#4015:0
#3157:1	#3990:3
#3170:2	#4012:1
#2929:1	#3981:1
#3151:6	#3989:4
#3155:1	#3978:3
#3167:0	#3978:0
#3152:5	#4017:0
#3154:4	#3980:3
#3177:5	#3995:2
#3153:7	#4014:0
#3166:1	#3986:4
#3154:0	#3981:5
#3174:3	#4016:0
#3159:2	#4003:1
#3147:2	#4002:1
#3146:4	#3996:4
#3169:1	#3990:1
#3150:5	#4003:0
#3177:1	#3994:5
#3141:5	#3991:4
#3177:8	#3995:3
#3156:6	#4011:4
#3152:0	#4017:3
#3144:5	#3992:6
#3144:7	#3988:2
#3142:8	#3993:1
#3144:0	#3997:4
#3156:7	#4006:2
#3152:8	#4007:0
#3158:1	#3982:5
#3159:5	#4008:5
#3158:5	#4016:2
#3142:6	#4001:4
#3167:6	#3981:6
#3167:5	#4014:2
#3149:3	#4005:1
#3177:3	#3987:4
#3166:8	#3979:3
#3174:4	#3984:5
#3160:3	#3985:6
#3159:8	#4006:0
#3155:3	#4005:0
#3149:6	#3991:5
#3174:2	#4015:1
#3173:8	#4010:2
#2929:2	#4000:5
#3176:3	#4000:3
#3176:0	#3982:0
#3159:1	#4002:3
#3150:1	#3999:2
#3140:7	#4008:2
#3175:0	#4000:0
#3176:4	#3996:5
#3176:5	#4013:1
#3177:7	#4012:0
#3167:3	#3985:3
#3143:5	#4016:3
#3150:2	#3986:6
#3159:4	#4010:3
#3144:1	#3980:5
#3170:1	#4010:4
#3150:7	#4004:2
#3157:3	#4007:5
#3154:3	#3985:4
#3158:7	#4014:4
#3173:7	#4017:4
#3145:1	#4009:1
#3149:1	#3997:2
#3175:7	#3994:6
#3172:5	#3993:3
