threat_actor	infrastructure
#3150:4	#3914:1
#3153:5	#3907:1
#3147:2	#3907:5
#3158:3	#3924:4
#3150:2	#3926:1
#3164:6	#3907:6
#3160:6	#3902:0
#3153:8	#3936:0
#3155:0	#3925:0
#3169:6	#3934:3
#3157:4	#3925:2
#3165:0	#3935:4
#3148:2	#3913:5
#3139:2	#3917:4
#3150:6	#3930:0
#3164:0	#3929:4
#3163:4	#3906:3
#3150:1	#3913:3
#3177:3	#3907:0
#3176:6	#3906:2
#3173:7	#3930:5
#3176:2	#3900:0
#3157:7	#3898:4
#3156:6	#3911:5
#3174:3	#3901:0
#3169:5	#3921:3
#3167:1	#3903:3
#3177:8	#3932:4
#3139:3	#3924:2
#3165:4	#3905:3
#3155:4	#3912:2
#3148:4	#3923:1
#3160:3	#3899:1
#3169:2	#3915:1
#3164:2	#3935:0
#3166:5	#3910:5
#2929:2	#3911:4
#3140:2	#3924:0
#3151:0	#3927:3
#3145:1	#3927:0
#3169:3	#3932:5
#3146:3	#3909:1
#3164:4	#3912:3
#3152:0	#3933:3
#3141:7	#3900:2
#3165:1	#3904:3
#3156:8	#3908:2
#3170:0	#3911:1
#3161:5	#3916:2
#3144:0	#3928:5
#3149:3	#3928:3
#3174:6	#3931:3
#3176:4	#3937:4
#3165:8	#3919:0
#3175:7	#3910:0
#3175:2	#3911:2
#3164:1	#3898:3
#3161:6	#3922:4
#3161:8	#3898:2
#3167:2	#3901:1
#3170:3	#3901:2
#3165:3	#3921:5
#3149:2	#3919:5
#3160:5	#3931:1
#3173:5	#3900:4
#3152:7	#3903:4
#3174:8	#3900:5
#3145:2	#3908:5
#3172:6	#3931:0
#3143:5	#3933:5
#3165:4	#3915:0
#3149:8	#3913:1
#3149:4	#3930:1
#3174:0	#3931:5
#3173:8	#3928:1
#3140:0	#3937:2
#3177:5	#3923:4
#3153:7	#3928:0
#3149:7	#3902:3
#3146:1	#3903:6
#3167:8	#3910:4
#3175:1	#3906:4
#3140:8	#3904:0
#3174:7	#3905:1
#3166:7	#3915:5
#3159:3	#3930:4
#2929:4	#3914:0
#3155:2	#3910:6
#3166:4	#3929:3
#3166:1	#3903:2
#3160:1	#3905:5
#3156:5	#3916:0
#3154:3	#3913:4
#3164:7	#3928:4
#3144:3	#3911:3
#3147:4	#3916:1
#3156:2	#3914:5
#2929:0	#3923:2
#3164:5	#3918:1
#3139:1	#3936:2
#2929:1	#3929:2
#3156:1	#3934:0
#3158:8	#3904:4
#3161:6	#3931:2
#3155:1	#3936:1
#3170:2	#3926:3
#3144:1	#3920:0
#3142:5	#3919:2
#3141:8	#3911:0
#3148:3	#3922:3
#3158:4	#3932:2
#3166:8	#3922:4
#3165:6	#3913:6
#3175:8	#3906:5
#3159:1	#3909:2
#3155:2	#3922:1
#3153:0	#3899:4
#3159:2	#3906:0
#3158:2	#3925:1
#3173:4	#3908:4
#3177:1	#3910:1
#3145:3	#3917:3
#3159:7	#3933:4
#3174:5	#3936:3
#3166:0	#3901:5
#3164:8	#3912:0
#3167:5	#3926:2
#3169:0	#3934:1
#3156:0	#3932:0
#3177:7	#3909:5
#3157:8	#3915:2
#3166:3	#3923:3
#3176:8	#3912:5
#3176:0	#3898:0
#3140:1	#3913:2
#3142:8	#3907:2
#3165:5	#3925:1
#3168:0	#3927:1
#3152:5	#3929:0
#3172:8	#3921:1
#3174:4	#3917:1
#2929:0	#3898:0
#3167:3	#3920:5
#3141:5	#3904:5
#3155:3	#3919:4
#3170:1	#3901:6
#3175:4	#3931:4
#3159:5	#3924:1
#3167:0	#3920:1
#3166:6	#3934:2
#3158:7	#3923:5
#3142:7	#3927:4
#3150:5	#3918:3
#3158:6	#3932:1
#3150:8	#3908:3
#3157:3	#3918:4
#3144:0	#3904:0
#3167:6	#3937:0
#3147:3	#3916:3
#3156:3	#3918:2
#3152:8	#3921:2
#3166:2	#3922:1
#3144:7	#3907:3
#3156:7	#3932:3
#3159:8	#3914:3
#3177:1	#3905:4
#3145:6	#3925:5
#3161:7	#3937:1
#3174:1	#3900:4
#3151:5	#3922:0
#3169:8	#3900:3
#3175:6	#3899:2
#3157:6	#3917:5
#3144:6	#3926:4
#3168:8	#3916:4
#3160:2	#3928:2
#3160:8	#3920:3
#3168:4	#3901:4
#3143:8	#3912:1
#3151:8	#3914:2
#3173:6	#3898:1
#3140:6	#3919:3
#3149:1	#3900:1
#3148:7	#3935:2
#3140:7	#3935:4
#3175:3	#3908:0
#3153:6	#3913:0
#3144:6	#3909:4
#3165:2	#3902:1
#3168:2	#3908:1
#3144:5	#3899:6
#3157:5	#3923:0
#3151:7	#3937:3
#3151:6	#3916:5
#3177:6	#3936:4
#2929:3	#3917:2
#3176:1	#3910:3
#3145:4	#3910:1
#3168:7	#3935:5
#3157:0	#3909:0
#3148:8	#3906:1
#3167:5	#3936:3
#3160:7	#3899:5
#3168:6	#3904:1
#3154:0	#3918:0
#3176:5	#3930:3
#3152:6	#3922:5
#3142:0	#3902:6
#3145:5	#3905:6
#3144:8	#3919:1
#3159:4	#3899:3
#3177:4	#3903:5
#3146:2	#3912:4
#3165:7	#3934:4
#3157:2	#3909:6
#3168:8	#3907:6
#3149:5	#3900:6
#3148:6	#3915:4
#3150:7	#3909:4
#3173:5	#3927:2
#3168:3	#3926:5
#3143:7	#3901:3
#3158:1	#3902:2
#3147:1	#3926:0
#3154:4	#3905:2
#3166:7	#3903:0
#3140:4	#3905:0
#3174:3	#3923:2
#3141:6	#3925:3
#3148:1	#3933:0
#3139:4	#3921:0
#3141:0	#3936:5
#3172:5	#3920:2
#3140:3	#3918:5
#3151:8	#3934:5
#3143:0	#3908:6
#3168:5	#3933:2
#3154:1	#3929:1
#3146:4	#3927:5
#3176:7	#3917:0
#3159:6	#3912:6
#3167:4	#3935:3
#3169:1	#3915:3
#3176:3	#3925:4
#3175:5	#3924:3
#3148:5	#3934:5
#3154:2	#3904:6
#3144:2	#3902:5
#3143:6	#3920:4
#3139:3	#3900:2
#3172:7	#3924:5
#3139:0	#3930:2
#3142:6	#3906:6
#3158:5	#3914:4
