course_of_action	vulnerability
#256:80	#241:666
#256:65	#230:2842
#256:80	#219:2644
#256:80	#240:1959
#256:80	#221:3020
#254:53	#213:1370
#256:85	#212:1749
#252:24	#213:1764
#249:28	#210:737
#254:41	#214:500
#256:80	#213:1561
#249:64	#247:1256
#3658:113	#245:2504
#256:85	#241:1203
#249:42	#245:1517
#256:80	#228:1466
#257:12	#241:2542
#3660:148	#247:1665
#254:41	#233:1394
#252:24	#225:1285
#256:80	#244:3140
#254:55	#242:3538
#256:85	#228:1551
#3660:173	#224:2331
#256:80	#234:910
#256:80	#234:2715
#254:32	#247:2369
#254:41	#245:145
#256:80	#241:2875
#256:80	#209:364
#254:41	#217:3094
#257:15	#212:1992
#256:60	#230:823
#3661:75	#245:3271
#3658:118	#235:76
#256:80	#248:3626
#252:20	#239:2306
#254:10	#241:196
#249:23	#245:990
#3662:105	#247:3459
#256:80	#213:3619
#256:80	#235:365
#254:44	#209:3198
#257:8	#242:2975
#256:80	#220:615
#3659:7	#232:2224
#256:80	#217:2681
#254:78	#223:3566
#254:45	#243:3046
#249:22	#218:1034
#249:76	#242:1129
#252:4	#243:110
#256:80	#219:939
#3661:107	#213:2009
#249:42	#219:2699
#256:80	#211:2852
#254:41	#234:1045
#256:57	#245:2328
#256:80	#215:3474
#256:80	#227:1217
#249:72	#212:493
#256:80	#225:3126
#3661:176	#228:358
#3661:82	#214:2656
#3658:9	#247:2585
#3660:139	#236:2637
#256:80	#221:2832
#256:80	#219:3466
#251:83	#216:2971
#254:41	#248:1690
#257:8	#235:2835
#256:80	#241:2519
#254:41	#236:1480
#3659:16	#245:1147
#256:80	#223:1616
#252:43	#240:1867
#3659:38	#211:1147
#3662:5	#215:973
#3661:101	#221:2752
#256:80	#224:1839
#249:42	#213:1300
#3661:198	#229:956
#3661:201	#224:3722
#3662:88	#233:1485
#257:19	#214:233
#256:85	#233:2641
#256:80	#210:3366
#254:41	#209:1600
#249:42	#223:1789
#254:77	#236:2365
#3661:41	#230:2604
#254:41	#220:2502
#256:80	#235:164
#256:80	#229:1403
#256:80	#248:2651
#254:53	#217:2426
#254:41	#222:2897
#3660:9	#231:536
#249:78	#216:121
#254:41	#232:1145
#3658:1	#234:2085
#254:41	#220:1633
#3662:50	#212:3091
#249:34	#213:694
#254:29	#219:731
#256:80	#231:1354
#254:41	#246:36
#254:12	#244:2613
#254:38	#238:108
#256:60	#213:2494
#3659:147	#234:2499
#256:80	#222:811
#3659:213	#228:2704
#256:80	#217:3102
#254:44	#221:3082
#256:80	#237:1724
#3660:109	#247:2909
#3661:196	#217:2742
#257:25	#243:1752
#254:41	#240:212
#254:41	#211:2473
#256:80	#236:3618
#3661:163	#247:3257
#254:41	#212:2565
#254:45	#242:1085
#3658:150	#237:1002
#254:10	#235:3567
#257:41	#209:723
#3662:40	#244:2176
#3660:31	#239:324
#256:80	#229:2007
#252:43	#213:790
#3660:95	#221:3434
#254:42	#244:2811
#256:85	#220:2839
#256:80	#243:87
#254:38	#214:3180
#3658:77	#239:2839
#256:85	#233:621
#254:45	#220:779
#254:41	#219:648
#3658:57	#242:2478
#256:80	#247:3314
#3658:79	#214:178
#3662:53	#234:2939
#256:80	#217:2309
#254:41	#244:3257
#256:80	#230:3697
#3658:190	#242:3538
#3658:54	#211:3117
#257:30	#228:1512
#254:45	#219:2334
#256:80	#245:3568
#252:24	#222:971
#254:48	#209:130
#254:41	#233:2874
#3659:86	#214:1424
#252:51	#241:1964
#254:41	#242:656
#3662:78	#215:2801
#3661:118	#218:1205
#254:41	#241:1810
#256:80	#234:2162
#254:41	#218:3353
#3658:153	#231:3065
#254:25	#244:1912
#3661:144	#239:2826
#254:55	#244:658
#252:43	#215:3688
#249:57	#245:1513
#3658:21	#223:2212
#254:38	#209:209
#251:75	#211:3404
#256:80	#216:578
#252:56	#239:2473
#3660:67	#245:2574
#254:41	#211:1393
#254:45	#231:1099
#256:80	#226:2631
#251:72	#234:3146
#3658:116	#240:3294
#258:98	#218:3455
#257:25	#244:380
#254:41	#217:2129
#254:22	#245:3354
#3660:121	#235:607
#257:8	#212:862
#3662:54	#219:1426
#256:80	#233:3604
#3661:49	#239:2936
#254:41	#223:1526
#3660:34	#243:3269
#3660:197	#214:1114
#256:80	#235:1556
#254:74	#225:3682
#3661:20	#234:3481
#254:41	#230:1931
#256:65	#210:1757
#256:65	#215:2819
#257:13	#222:215
#3661:145	#248:3225
#3660:62	#235:361
#254:28	#216:2576
#254:38	#234:2975
#254:41	#228:2347
#256:85	#223:1343
#3661:164	#226:1953
#252:24	#210:2049
#252:43	#232:2004
#254:41	#214:200
#3658:203	#236:3001
#256:80	#218:1927
#257:34	#235:3282
#254:41	#226:3200
#3661:210	#212:3472
#258:98	#227:1957
#256:80	#223:1232
#256:80	#222:3709
#254:41	#242:264
#256:85	#218:2967
#251:75	#237:1022
#3658:70	#226:2113
#254:12	#228:2464
#3659:153	#230:464
#256:80	#242:1616
#252:56	#229:3705
#254:41	#237:3602
