indicator	campaign
#3224:1169	#3178:6
#3258:758	#3541:10
#3227:1720	#3553:15
#3400:87	#3561:1
#3254:2328	#3567:11
#3417:44	#3548:8
#3233:1440	#3553:1
#3227:1237	#3546:4
#3222:1515	#3564:11
#3230:280	#3544:15
#3222:481	#3553:7
#3250:553	#3577:10
#3395:416	#3557:5
#3418:434	#3553:1
#3414:461	#3557:5
#3246:1714	#3561:1
#3244:1514	#3548:12
#3234:1852	#3547:3
#3241:896	#3564:6
#3412:175	#3572:12
#3223:2670	#3560:11
#3219:2470	#3565:4
#3247:1985	#3558:10
#3234:898	#3564:6
#3253:2192	#3576:11
#3236:1576	#3564:10
#3239:1234	#3564:6
#3230:1164	#3552:14
#3220:826	#3555:5
#3229:965	#3544:4
#3394:559	#3553:1
#3246:1164	#3552:9
#3220:2674	#3541:5
#3401:72	#3557:5
#3220:892	#3552:9
#3254:70	#3556:12
#3224:2191	#3561:7
#3225:897	#3545:9
#3254:2537	#3551:12
#3236:4	#3561:1
#3225:2604	#3555:3
#3235:2396	#3557:7
#3252:2534	#3569:13
#3233:2602	#3539:3
#3232:1029	#3553:1
#3236:2398	#3574:2
#3238:2533	#3541:4
#3253:1985	#3547:14
#3255:209	#3565:4
#3219:1989	#3543:5
#3241:348	#3563:2
#3258:2539	#3567:5
#3249:1370	#3565:11
#3227:827	#3560:11
#3243:142	#3553:4
#3230:2465	#3551:15
#3252:2675	#3560:3
#3242:555	#3574:7
#3244:2125	#3178:1
#3242:1378	#3559:0
#3225:623	#3564:10
#3225:619	#3561:7
#3392:474	#3561:1
#3244:2191	#3576:8
#3238:1919	#3572:13
#3222:481	#3544:11
#3233:1442	#3570:1
#3254:2399	#3539:8
#3221:2465	#3544:7
#3239:690	#3560:2
#3256:205	#3553:1
#3233:2403	#3566:14
#3258:898	#3552:1
#3239:1647	#3573:13
#3245:1855	#3565:4
#3248:1035	#3545:15
#3251:1920	#3541:4
#3231:1781	#3552:1
#3239:143	#3560:7
#3381:115	#3553:1
#3242:209	#3565:4
#3406:233	#3565:4
#3230:1925	#3570:8
#3235:74	#3565:11
#3412:547	#3178:5
#3229:2533	#3178:9
#3237:143	#3555:6
#3229:2262	#3561:12
#3258:1440	#3576:11
#3253:1034	#3543:8
#3234:2335	#3541:4
#3224:2062	#3542:8
#3245:2057	#3553:15
#3249:1370	#3567:2
#3249:6	#3555:5
#3245:2398	#3554:9
#3258:1164	#3560:3
#3256:411	#3567:2
#3227:281	#3559:1
#3221:1511	#3545:4
#3228:2330	#3557:11
#3243:754	#3552:1
#3394:2	#3553:1
#3251:2603	#3550:6
#3248:140	#3539:15
#3231:2397	#3546:9
#3238:2603	#3576:2
#3402:175	#3561:1
#3404:248	#3553:1
#3251:1304	#3565:4
#3239:2535	#3178:7
#3219:75	#3560:11
#3407:362	#3553:1
#3386:292	#3562:14
#3220:2603	#3575:11
#3229:76	#3566:0
#3248:690	#3577:4
#3396:378	#3557:5
#3243:2676	#3560:11
#3246:2124	#3564:6
#3228:76	#3567:13
#3408:14	#3557:5
#3243:1852	#3560:11
#3257:1715	#3563:14
#3231:485	#3557:8
#3235:1784	#3541:10
#3256:2603	#3554:7
#3227:1852	#3560:3
#3223:2399	#3544:2
#3257:2465	#3573:9
#3250:2671	#3565:4
#3228:1989	#3560:11
#3255:1168	#3542:11
#3243:1509	#3561:1
#3239:280	#3551:9
#3252:2056	#3553:13
#3415:530	#3557:5
#3257:2194	#3552:9
#3230:553	#3553:1
#3232:2329	#3568:1
