indicator	infrastructure
#3219:72	#4733:24
#3219:415	#4717:342
#3219:619	#4726:245
#3219:556	#4725:205
#3219:624	#4704:41
#3219:756	#4704:397
#3219:278	#4707:272
#3219:485	#4727:369
#3219:556	#4707:468
#3219:0	#4732:446
#3219:482	#4700:293
#3219:891	#4731:115
#3219:141	#4706:89
#3219:619	#4713:346
#3219:488	#4708:353
#3219:757	#4702:336
#3219:343	#4737:226
#3219:138	#4709:231
#3219:139	#4709:6
#3219:965	#4718:128
#3219:960	#4717:254
#3219:487	#4706:174
#3219:895	#4723:311
#3219:555	#4732:339
#3219:689	#4730:338
#3219:757	#4710:54
#3219:484	#4709:61
#3219:962	#4706:145
#3219:412	#4699:201
#3219:686	#4737:109
#3219:143	#4732:85
#3219:481	#4706:34
#3219:77	#4713:386
#3219:138	#4728:89
#3219:550	#4720:472
#3219:4	#4704:339
#3219:892	#4722:241
#3219:214	#4718:382
#3219:625	#4730:279
#3219:966	#4725:463
#3219:891	#4705:455
#3219:760	#4709:344
