indicator	malware
#3269:2248	#4540:0
#3282:1251	#4265:0
#3279:339	#4279:0
#3288:3076	#4467:0
#3273:253	#4341:1
#3260:585	#4339:1
#3264:1830	#4265:0
#3286:1747	#4269:0
#3296:2413	#4323:0
#3274:2747	#4361:0
#3298:916	#4284:1
#3270:1912	#4370:0
#3292:3162	#4297:1
#3278:250	#4273:0
#3289:1745	#4300:0
#3284:667	#4258:0
#3272:2579	#4265:0
#3275:2994	#4265:0
#3294:669	#4274:1
#3268:1664	#4356:0
#3295:2746	#4282:0
#3267:2992	#4287:0
#3296:1997	#4287:0
#3281:1917	#4259:2
#3265:2162	#4264:1
#3287:1585	#4279:1
#3273:915	#4265:0
#3287:2084	#4279:1
#3279:2583	#4342:0
#3296:2827	#4294:1
#3283:831	#4265:0
#3284:1083	#4287:0
#3276:86	#4316:0
#3272:2495	#4263:1
#3261:1081	#4269:0
#3266:2413	#4367:0
#3292:2666	#4479:0
#3297:2331	#4265:0
#3272:920	#4338:0
#3270:89	#4343:1
#3281:2413	#4479:0
#3268:754	#4343:0
#3289:755	#4279:1
#3290:752	#4398:0
#3288:669	#4275:0
#3267:1581	#4350:0
#3278:918	#4568:0
#3263:2998	#4283:1
#3275:918	#4273:0
#3263:919	#4360:1
#3260:2166	#4393:0
#3297:2251	#4564:0
#3277:1086	#4352:1
#3290:2081	#4270:0
#3286:2416	#4356:0
#3270:1165	#4297:1
#3297:250	#4341:0
#3275:3162	#4272:1
#3292:2748	#4270:0
#3286:1750	#4346:1
#3284:2327	#4279:0
#3266:501	#4265:0
#3273:2582	#4426:0
#3283:585	#4265:0
#3280:919	#4540:0
#3278:2995	#4370:0
#3284:1249	#4370:0
#3284:1164	#4265:0
#3288:2416	#4271:1
#3290:1666	#4393:0
#3269:1169	#4279:1
#3274:672	#4370:0
#3281:255	#4540:0
#3283:2662	#4344:1
#3275:1914	#4370:0
#3278:166	#4287:0
#3269:998	#4259:2
#3281:336	#4380:0
#3283:587	#4298:0
#3260:832	#4265:0
#3289:1416	#4347:1
#3267:1414	#4467:0
#3285:836	#4265:1
#3276:2743	#4461:1
#3276:831	#4279:1
#3284:1083	#4419:0
#3271:2083	#4341:1
#3286:2002	#4265:0
#3263:2581	#4489:0
#3265:253	#4479:0
#3292:1498	#4265:1
#3282:749	#4370:0
#3292:2165	#4287:0
#3296:2743	#4272:1
#3265:1330	#4356:0
#3273:2748	#4259:0
#3291:2499	#4325:0
#3291:2997	#4272:1
#3266:2500	#4479:0
#3277:504	#4279:1
#3270:2167	#4278:1
#3294:668	#4265:0
#3272:835	#4286:1
#3279:420	#4356:0
#3283:667	#4356:0
#3288:2000	#4354:0
#3273:2166	#4341:0
#3279:1169	#4579:0
#3293:1082	#4274:1
#3283:2660	#4267:0
#3289:1918	#4259:0
#3297:2161	#4279:1
#3272:588	#4559:0
#3270:3242	#4383:0
#3261:88	#4265:0
#3270:1747	#4310:0
#3288:2493	#4259:2
#3297:2163	#4348:0
#3261:3242	#4287:0
#3278:2082	#4279:1
#3284:672	#4265:0
#3279:2414	#4265:0
#3264:1254	#4374:0
#3282:88	#4343:0
#3275:1418	#4265:0
#3298:2410	#4265:0
#3272:2577	#4393:0
#3264:1836	#4287:0
#3265:2082	#4264:0
#3286:1918	#4286:1
#3283:501	#4259:2
#3259:3247	#4259:0
#3296:2660	#4344:1
#3279:668	#4282:1
#3293:2745	#4258:0
#3259:1748	#4265:0
#3278:1584	#4270:0
#3268:668	#4556:0
#3274:337	#4314:0
#3297:1581	#4264:1
#3266:502	#4283:1
#3271:1752	#4265:0
#3270:2161	#4546:0
#3289:2168	#4265:0
#3286:2499	#4263:1
#3280:1584	#4358:1
#3291:1249	#4281:0
#3279:1082	#4271:0
#3286:1420	#4279:1
#3273:1998	#4272:1
#3267:2250	#4271:0
#3268:505	#4386:0
#3264:251	#4283:0
#3283:2827	#4347:1
#3280:1665	#4325:0
#3283:835	#4486:0
#3264:1504	#4407:0
#3274:1416	#4347:1
#3276:1500	#4259:0
#3288:2411	#4265:1
#3296:916	#4266:0
#3292:2996	#4272:1
#3265:501	#4276:0
#3260:2582	#4343:1
#3277:1997	#4346:1
#3290:587	#4278:0
#3279:2659	#4579:0
#3267:1580	#4347:1
#3294:1002	#4265:0
#3280:2329	#4282:0
#3283:832	#4309:0
#3292:2909	#4354:0
#3288:1833	#4274:0
#3266:3079	#4279:1
#3269:504	#4310:0
#3275:919	#4319:0
#3282:335	#4282:0
#3275:837	#4259:0
#3278:171	#4504:0
#3294:1581	#4265:0
#3284:1419	#4274:1
#3286:249	#4392:0
#3297:1828	#4486:0
#3274:1829	#4284:1
#3279:2828	#4268:0
#3261:2831	#4269:0
#3289:3243	#4283:1
#3293:1498	#4473:0
#3262:3075	#4264:1
#3296:835	#4284:1
#3267:335	#4395:0
#3270:2495	#4486:0
#3283:1752	#4264:1
#3278:1666	#4273:0
#3263:1750	#4280:1
#3289:1247	#4259:2
#3290:416	#4289:1
#3275:1999	#4347:1
#3279:1750	#4283:1
#3292:1417	#4486:0
#3270:2000	#4305:0
#3263:1666	#4284:1
#3288:2082	#4467:0
#3280:1166	#4491:0
#3287:2915	#4263:1
#3287:1583	#4283:1
#3260:1666	#4540:0
#3271:1001	#4367:0
#3288:1085	#4265:0
#3273:1918	#4265:0
#3294:1911	#4587:0
#3274:1502	#4272:1
#3264:2911	#4349:1
#3283:2581	#4283:0
#3293:1170	#4358:1
#3279:1836	#4264:1
#3269:1829	#4280:0
#3265:1081	#4292:1
#3261:2167	#4363:0
#3278:1497	#4360:1
#3270:838	#4458:0
#3292:1828	#4307:0
#3282:2495	#4266:1
#3277:168	#4271:0
#3282:339	#4265:0
#3277:1085	#4305:0
#3290:505	#4265:0
#3293:920	#4380:0
#3296:2081	#4341:1
#3288:2249	#4264:1
#3280:2913	#4458:0
#3262:169	#4283:1
#3268:2415	#4265:0
#3275:2496	#4259:2
#3276:2244	#4265:1
#3264:3160	#4566:0
#3285:1834	#4274:0
#3281:584	#4358:1
#3290:2084	#4265:1
#3262:1583	#4287:0
#3285:2498	#4279:0
#3262:1919	#4293:0
#3286:1331	#4263:0
#3265:1832	#4276:1
#3266:2084	#4345:0
#3263:1751	#4265:0
#3262:2165	#4491:0
#3297:1002	#4547:0
#3269:2331	#4265:0
#3298:1750	#4579:0
#3261:2663	#4479:0
#3298:1750	#4265:0
#3283:250	#4465:1
#3288:2745	#4265:0
#3284:1997	#4491:0
#3288:252	#4272:1
#3261:2579	#4283:0
#3270:1753	#4266:0
#3277:1579	#4287:0
#3260:1417	#4260:1
#3283:1914	#4377:0
#3261:84	#4291:0
#3277:2162	#4269:0
#3295:1915	#4265:0
#3276:2662	#4579:0
#3269:3082	#4579:0
#3261:917	#4265:0
#3282:4	#4279:1
#3283:1999	#4324:0
#3280:3244	#4264:1
#3288:421	#4343:0
#3281:1747	#4274:1
#3260:2498	#4367:0
#3259:667	#4258:0
#3296:3159	#4259:2
#3271:2333	#4467:0
#3282:3162	#4354:0
#3293:1834	#4426:0
#3293:2244	#4296:0
#3277:85	#4287:0
#3298:418	#4467:0
#3274:918	#4264:1
#3284:250	#4465:1
#3294:1496	#4265:0
#3282:2161	#4297:1
#3277:2244	#4367:0
#3288:339	#4387:0
#3259:2827	#4279:1
#3274:2913	#4356:0
#3284:6	#4462:0
#3289:2413	#4272:1
#3269:1748	#4540:0
#3270:1664	#4284:1
#3283:1413	#4274:0
#3260:1663	#4265:0
#3294:2332	#4262:1
#3280:921	#4292:0
#3267:755	#4259:2
#3259:2996	#4469:1
#3288:2825	#4265:0
#3270:2167	#4365:0
#3278:2497	#4281:0
#3298:2328	#4287:0
#3286:1664	#4265:0
#3260:1418	#4287:0
#3277:1170	#4393:0
#3282:499	#4579:0
#3283:3076	#4370:0
#3273:2410	#4463:1
#3298:1664	#4287:1
#3289:170	#4279:1
#3278:1831	#4261:2
#3284:1665	#4279:1
#3261:1082	#4269:0
#3291:1166	#4272:0
#3271:3165	#4475:0
#3280:2910	#4370:0
#3268:1419	#4348:0
#3296:3240	#4272:1
#3296:1751	#4269:0
#3282:1748	#4259:2
#3289:1251	#4265:0
#3287:2001	#4341:0
#3268:2250	#4265:0
#3286:1166	#4282:0
#3277:84	#4279:1
#3277:504	#4420:0
#3274:1083	#4292:1
#3288:997	#4264:0
#3273:2995	#4370:0
#3263:2581	#4282:0
#3276:2992	#4263:2
#3263:503	#4358:1
#3294:166	#4350:0
#3283:250	#4274:1
#3283:1336	#4307:0
#3286:669	#4463:0
#3273:1002	#4367:0
#3291:171	#4540:0
#3267:666	#4283:0
#3261:502	#4341:0
