malware	tool
#4291:1	#3947:2
#4571:0	#3940:6
#4376:0	#3974:1
#4354:0	#3943:4
#4587:0	#3956:5
#4420:0	#3971:5
#4549:0	#3945:3
#4421:0	#3976:1
#4501:0	#3971:5
#4268:0	#3943:3
#4287:0	#3954:6
#4544:0	#3961:3
#4394:0	#3947:6
#4269:1	#3968:5
#4458:1	#3944:2
#4263:0	#3963:4
#4344:0	#3970:5
#4479:0	#3968:4
#4404:0	#3961:5
#4476:0	#3960:5
#4382:0	#3954:6
#4349:0	#3952:4
#4565:0	#3967:5
#4285:1	#3972:3
#4259:1	#3975:2
#4505:0	#3967:5
#4279:1	#3971:5
#4568:0	#3938:4
#4459:1	#3951:3
#4365:0	#3953:2
#4488:0	#3974:2
#4484:0	#3961:4
#4406:0	#3953:3
#4281:0	#3968:0
#4328:0	#3963:2
#4286:0	#3943:5
#4349:1	#3976:2
#4277:0	#3945:2
#4293:1	#3939:0
#4309:0	#3975:0
#4339:0	#3944:2
#4435:0	#3940:0
#4546:0	#3976:1
#4557:0	#3943:5
#4262:0	#3942:5
#4483:0	#3943:5
#4552:0	#3951:2
#4437:0	#3964:2
#4356:1	#3947:2
#4474:0	#3943:4
#4274:1	#3940:0
#4342:1	#3963:2
#4583:0	#3975:0
#4498:0	#3938:0
#4466:0	#3938:4
#4323:0	#3938:4
#4562:0	#3948:3
#4380:0	#3944:2
#4295:1	#3976:1
#4299:0	#3943:4
#4284:1	#3946:0
#4466:1	#3972:4
#4304:0	#3976:1
#4539:0	#3943:4
#4306:0	#3976:0
#4260:2	#3939:4
#4468:1	#3943:3
#4340:0	#3961:3
#4281:1	#3940:2
#4275:0	#3971:3
#4464:1	#3942:2
#4538:0	#3938:0
#4390:0	#3975:0
#4500:0	#3944:2
#4393:0	#3948:0
#4358:0	#3940:2
#4341:0	#3944:3
#4381:0	#3972:4
#4401:0	#3956:5
#4348:1	#3975:2
#4312:0	#3948:0
#4578:0	#3943:4
#4315:0	#3970:5
#4273:0	#3944:3
#4352:1	#3974:4
#4297:0	#3951:3
#4317:0	#3954:3
#4566:0	#3938:1
#4389:0	#3966:5
#4347:0	#3941:4
#4351:1	#3974:2
#4434:0	#3939:4
#4567:0	#3940:0
#4266:0	#3970:5
#4314:0	#3946:0
#4279:0	#3974:1
#4366:0	#3972:5
#4433:0	#3956:5
#4461:1	#3967:5
#4469:1	#3940:6
#4491:0	#3946:0
#4348:0	#3938:1
#4461:0	#3972:5
#4386:0	#3972:2
#4391:0	#3957:5
#4492:0	#3956:5
#4271:1	#3954:3
#4373:0	#3943:3
#4543:0	#3954:6
#4276:0	#3945:0
#4465:1	#3940:0
#4357:1	#3966:5
#4270:1	#3969:5
#4550:0	#3940:5
