observed_data	report
#3219:351	#3002:27
#3219:219	#3012:19
#3219:285	#3095:11
#3219:768	#2970:11
#3219:901	#3022:14
#3219:694	#3010:8
#3219:218	#3090:0
#3219:891	#3068:13
#3219:422	#2933:26
#3219:490	#3068:13
#3219:559	#3028:21
#3219:900	#3033:27
#3219:425	#3011:17
#3219:627	#2941:9
#3219:624	#2974:25
#3219:626	#3067:4
#3219:148	#3053:26
#3219:555	#2941:17
#3219:904	#3068:24
#3219:835	#2974:19
#3219:216	#3068:13
#3219:492	#2967:26
#3219:151	#3033:11
#3219:901	#3033:11
#3219:480	#3097:5
#3219:966	#2973:19
#3219:214	#2948:8
#3219:760	#3022:18
#3219:627	#3048:8
#3219:285	#3022:14
#3219:148	#3012:13
#3219:484	#3022:18
#3219:555	#3091:14
#3219:143	#2962:18
#3219:698	#2974:19
#3219:557	#3051:18
#3219:904	#3066:19
#3219:10	#3066:2
#3219:766	#2974:19
#3219:554	#2974:19
#3219:80	#3015:28
#3219:491	#3053:26
#3219:357	#3009:22
#3219:629	#2974:19
#3219:80	#3053:26
#3219:9	#3008:14
#3219:903	#3029:29
#3219:757	#2954:23
#3219:895	#3060:10
#3219:556	#2954:2
#3219:969	#3036:19
#3219:13	#2974:19
#3219:353	#3068:13
#3219:4	#3091:14
#3219:696	#3033:11
#3219:146	#2964:9
#3219:696	#3012:13
#3219:141	#3003:22
#3219:420	#3029:9
#3219:625	#2947:5
#3219:0	#2930:0
#3219:285	#3053:26
#3219:630	#2952:19
#3219:149	#3033:11
#3219:83	#3028:21
#3219:767	#2982:19
#3219:763	#3063:27
#3219:82	#3012:19
#3219:482	#3031:13
#3219:764	#2941:9
#3219:966	#2948:8
#3219:768	#3063:11
#3219:554	#3024:19
#3219:699	#3091:14
#3219:143	#2947:0
#3219:139	#2948:8
#3219:491	#3015:28
#3219:12	#2933:26
#3219:484	#2948:8
#3219:11	#3053:26
#3219:147	#3066:2
#3219:631	#2930:5
#3219:832	#2933:18
#3219:79	#3068:13
#3219:689	#3008:10
#3219:12	#2993:26
#3219:138	#3008:3
#3219:355	#2967:26
#3219:892	#2983:11
#3219:4	#3004:14
#3219:485	#2984:30
#3219:286	#3053:26
#3219:962	#3080:16
#3219:481	#2948:8
#3219:149	#3009:22
#3219:891	#2954:23
#3219:12	#3053:26
#3219:559	#3095:11
#3219:901	#3053:26
#3219:139	#2973:19
#3219:757	#3068:13
#3219:966	#3022:18
#3219:284	#3066:2
#3219:968	#2962:7
#3219:960	#3059:15
#3219:686	#2973:19
#3219:764	#2931:23
#3219:627	#3032:7
#3219:833	#3002:27
#3219:217	#3002:27
#3219:149	#3053:26
#3219:412	#2973:22
#3219:695	#2933:18
#3219:764	#3032:7
#3219:689	#2962:18
#3219:11	#3022:14
#3219:286	#2933:26
#3219:764	#3048:8
#3219:287	#2974:19
#3219:283	#3035:12
#3219:415	#2934:27
#3219:139	#3022:18
#3219:760	#2948:8
#3219:831	#3068:13
#3219:212	#3043:24
#3219:288	#3064:11
#3219:78	#3067:4
#3219:560	#3002:27
#3219:343	#3060:10
#3219:901	#3012:13
#3219:905	#3084:5
#3219:11	#3028:21
#3219:11	#3095:11
#3219:973	#3068:24
#3219:488	#3003:22
#3219:146	#2930:7
#3219:697	#3002:27
#3219:561	#2974:19
#3219:494	#3067:4
#3219:760	#2973:19
#3219:75	#3019:5
#3219:214	#2973:19
#3219:493	#3012:19
#3219:215	#3067:4
#3219:489	#3067:4
#3219:960	#3071:18
#3219:286	#2993:26
#3219:970	#3002:27
#3219:422	#3015:28
#3219:836	#3091:14
#3219:834	#3002:27
#3219:696	#3022:14
#3219:971	#3002:27
#3219:559	#2991:14
#3219:77	#2952:13
#3219:686	#2948:8
#3219:628	#3002:27
#3219:765	#3002:27
#3219:972	#3090:14
#3219:965	#2931:30
#3219:619	#3008:3
#3219:149	#3028:21
#3219:831	#3077:23
#3219:686	#3022:18
#3219:286	#3009:22
#3219:562	#3033:11
#3219:14	#2974:24
#3219:831	#2957:23
#3219:81	#2989:17
#3219:220	#3009:22
#3219:278	#2958:2
#3219:356	#3012:19
#3219:484	#2973:19
#3219:150	#2974:19
#3219:550	#3060:10
#3219:72	#2968:6
#3219:422	#3053:26
#3219:905	#3036:4
#3219:481	#2973:19
#3219:494	#2978:17
#3219:285	#3028:21
#3219:77	#3067:20
#3219:423	#3002:27
#3219:903	#3086:29
#3219:756	#2973:22
#3219:558	#2933:18
#3219:148	#2980:17
#3219:214	#3022:18
#3219:627	#2931:23
#3219:421	#3066:2
#3219:12	#3033:11
#3219:559	#3022:14
#3219:487	#3022:6
#3219:902	#3002:27
#3219:424	#2974:19
#3219:892	#3007:23
#3219:148	#3009:22
#3219:352	#3067:4
#3219:354	#3002:27
#3219:696	#3053:26
#3219:481	#3022:18
#3219:146	#2970:11
