report	indicator
#2956:14	#3292:673
#2932:29	#3276:2754
#2936:10	#3290:255
#2937:2	#3268:1008
#2936:20	#3352:1
#2954:5	#3268:2829
#2954:21	#3255:209
#2943:15	#3347:916
#2937:21	#3354:1118
#2945:1	#3268:594
#2953:20	#3280:2690
#2959:5	#3396:307
#2953:12	#3263:3089
#2934:21	#3275:1618
#2958:22	#3409:275
#2956:19	#3228:1718
#2933:9	#3273:2252
#2958:24	#3269:1497
#2940:18	#3402:95
#2948:5	#3349:1312
#2948:3	#3297:1248
#2943:19	#3270:1185
#2943:22	#3283:3075
#2931:0	#3246:2330
#2962:5	#3369:763
#2959:7	#3394:218
#2930:17	#3231:623
#2954:20	#3288:764
#2946:23	#3400:17
#2934:30	#3266:1331
#2946:16	#3398:158
#2945:25	#3274:1499
#2946:1	#3277:1510
#2948:30	#3324:16
#2939:2	#3276:2289
#2958:5	#3286:1670
#2958:27	#3243:1648
#2950:29	#3261:2996
#2959:16	#3340:1035
#2933:10	#3274:2993
#2962:4	#3281:750
#2955:16	#3226:2195
#2937:8	#3326:1
#2933:18	#3385:86
#2948:25	#3272:524
#2951:30	#3283:1085
#2936:21	#3413:109
#2931:29	#3248:693
#2934:27	#3228:1855
#2930:5	#3491:609
#2937:8	#3292:1413
#2962:7	#3280:343
#2948:30	#3278:2354
#2961:24	#3407:518
#2937:11	#3268:2836
#2950:29	#3290:2749
#2942:4	#3283:1856
#2947:3	#3281:2494
#2942:20	#3397:245
#2953:18	#3265:3081
#2939:17	#3235:1784
#2952:28	#3270:354
#2933:18	#3363:6
#2943:12	#3296:1415
#2949:21	#3294:2912
#2937:21	#3242:2063
#2934:11	#3407:103
#2955:16	#3272:3
#2952:29	#3295:1746
#2934:3	#3359:419
#2949:11	#3228:966
#2937:28	#3231:2397
#2959:26	#3293:1508
#2935:2	#3279:1167
#2931:29	#3230:1304
#2931:7	#3399:230
#2947:5	#3265:1836
#2932:21	#3345:1113
#2941:9	#3346:1520
#2960:30	#3281:2415
#2940:22	#3393:245
#2947:0	#3274:0
#2958:24	#3260:416
#2957:14	#3264:2672
#2933:8	#3244:1717
#2944:6	#3291:1091
#2961:18	#3402:249
